Beginning Data Collection for Model Comparisons...,,,,,,
aruco_approx_dist.py Test Case 5,,,,,,
marker size: 45,,,,,,
calibration model: 14056*mpx^-0.952,,,,,,
-----------------------------------------,,,,,,
True Dist [mm], RS Meas Dist [mm], RS Error [%], Pixel Approx Dist Theoretical [mm], Pixel Theo Error [%], Pixel Approx Dist Calib [mm], Pixel Calib Error [%]
500,497,-0.6,445.74,-10.8521,488.85,-2.2291
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,597,-0.5,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.25,-8.6254,595.34,-0.7764
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,549.15,-8.4757,596.27,-0.6217
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,534.97,-10.8379,581.61,-3.065
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,541.96,-9.6732,588.84,-1.86
600,595,-0.8333,541.96,-9.6732,588.84,-1.86
600,595,-0.8333,549.15,-8.4757,596.27,-0.6217
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,555.88,-7.353,603.23,0.5384
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,594,-1,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,555.22,-7.4628,602.55,0.425
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,555.88,-7.353,603.23,0.5384
600,596,-0.6667,548.7,-8.5507,595.8,-0.6993
600,595,-0.8333,549.15,-8.4757,596.27,-0.6217
600,595,-0.8333,548.7,-8.5507,595.8,-0.6993
