D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py,,,,,,
N [bit], Size [mm], Size [px], Dist [mm], Angle [rad], Angle [deg], Alpha [px/bit]
5,30,10.36,976.78,0.71883,41.186,2.072
5,30,10,1012.29,0.6435,36.87,2
5,30,9.96,1016.11,0.70863,40.601,1.992
5,30,9.94,1018.74,0.71883,41.186,1.987
5,30,10.28,985.1,0.85197,48.814,2.055
5,30,9.9,1022.8,0.7854,45,1.98
5,30,10.26,986.31,0.7854,45,2.053
5,30,9.9,1022.71,0.7854,45,1.98
5,30,10.32,980.65,0.98279,56.31,2.065
5,30,10.32,981.51,0.85197,48.814,2.063
5,30,10.32,981.51,0.85197,48.814,2.063
5,30,9.86,1026.31,1.0122,57.995,1.973
5,30,9.86,1026.23,1.0637,60.945,1.973
5,30,9.43,1073.09,1.0122,57.995,1.887
5,30,9.43,1073.09,1.0122,57.995,1.887
5,30,10.14,998.72,1.0637,60.945,2.027
5,30,10.21,991.42,0.98279,56.31,2.042
5,30,10.21,991.42,0.98279,56.31,2.042
5,30,9.63,1051.26,1.10715,63.435,1.926
5,30,9.97,1015.91,1.0637,60.945,1.994
5,30,10.41,973.28,1.0637,60.945,2.081
5,30,9.73,1040.34,1.15257,66.038,1.947
5,30,9.53,1062.41,1.24905,71.565,1.906
5,30,9.85,1028.15,1.15257,66.038,1.97
5,30,9.85,1028.15,1.15257,66.038,1.97
5,30,10.33,980.29,1.19029,68.199,2.066
5,30,10.19,993.74,1.19029,68.199,2.038
