= RESTART: D:\all my files\documents\uvm\5_masters\hive\github_directory\HIVE\vision\find_alpha_routine.py
24-09-24
---------------------------------------------------------------------
N [bit], Size [mm], Size [px], Dist [mm], Angle [deg], Alpha [px/bit]
      5,      38.5,     29.30,    443.27,       53.53,          5.861
      5,      38.5,     29.13,    445.89,       50.44,          5.827
      5,      38.5,     29.13,    445.87,       50.71,          5.827
      5,      38.5,     29.05,    447.21,       50.71,          5.809
      5,      38.5,     27.96,    464.73,       41.99,          5.592
      5,      38.5,     28.04,    463.42,       39.29,          5.608
      5,      38.5,     28.78,    451.61,       38.05,          5.756
      5,      38.5,     28.66,    453.61,       35.31,          5.732
      5,      38.5,     28.78,    451.69,       33.69,          5.756
      5,      38.5,     29.27,    444.14,       34.22,          5.854
      5,      38.5,     28.23,    460.55,       30.26,          5.645
      5,      38.5,     27.98,    464.69,       29.25,          5.596
      5,      38.5,     28.07,    463.19,       27.48,          5.614
      5,      38.5,     28.31,    459.27,       24.78,          5.662
      5,      38.5,     28.24,    460.33,       20.32,          5.649
      5,      38.5,     27.72,    468.94,       22.93,          5.544
      5,      38.5,     28.31,    459.02,       18.44,          5.662
      5,      38.5,     28.16,    461.47,       17.82,          5.632
      5,      38.5,     27.20,    477.59,       17.10,          5.441
      5,      38.5,     27.85,    466.40,       16.50,          5.571
      5,      38.5,     28.38,    457.77,       14.04,          5.675
      5,      38.5,     28.26,    459.60,       11.69,          5.653
      5,      38.5,     28.15,    461.47,       12.10,          5.629
      5,      38.5,     28.25,    459.75,       12.53,          5.651
      5,      38.5,     27.57,    471.15,        8.75,          5.515
      5,      38.5,     27.09,    479.73,        8.43,          5.418
      5,      38.5,     26.31,    494.07,       10.89,          5.263
      5,      38.5,     28.08,    462.97,       10.49,          5.616
      5,      38.5,     28.22,    460.64,        6.34,          5.644
      5,      38.5,     27.80,    467.63,       10.49,          5.560
      5,      38.5,     27.80,    467.64,       10.12,          5.560
      5,      38.5,     26.81,    484.94,       10.49,          5.362
      5,      38.5,     26.45,    491.54,        6.34,          5.291
      5,      38.5,     27.66,    470.18,        6.12,          5.533
      5,      38.5,     27.45,    473.89,        6.34,          5.489
      5,      38.5,     27.45,    473.97,        6.34,          5.489
      5,      38.5,     27.51,    473.04,        8.13,          5.502
      5,      38.5,     27.87,    466.93,       10.12,          5.574
      5,      38.5,     26.89,    483.94,        8.43,          5.377
      5,      38.5,     27.17,    478.84,       10.89,          5.434
      5,      38.5,     27.86,    466.96,       14.53,          5.573
      5,      38.5,     27.29,    476.85,       14.53,          5.458
      5,      38.5,     27.54,    472.56,       15.07,          5.509
      5,      38.5,     27.68,    470.39,       17.10,          5.536
      5,      38.5,     27.68,    470.59,       16.50,          5.536
      5,      38.5,     26.89,    484.39,       17.10,          5.379
      5,      38.5,     27.53,    473.15,       21.80,          5.505
      5,      38.5,     27.07,    481.02,       21.04,          5.414
      5,      38.5,     27.45,    474.33,       23.75,          5.489
      5,      38.5,     27.40,    475.00,       25.64,          5.480
      5,      38.5,     26.95,    482.80,       24.62,          5.390
      5,      38.5,     26.73,    486.75,       26.57,          5.345
      5,      38.5,     27.20,    478.09,       29.25,          5.440
      5,      38.5,     27.02,    481.16,       28.44,          5.404
      5,      38.5,     26.85,    484.21,       33.11,          5.369
      5,      38.5,     27.33,    475.60,       36.03,          5.465
      5,      38.5,     27.16,    478.38,       36.03,          5.432
      5,      38.5,     27.07,    479.92,       38.66,          5.414
      5,      38.5,     26.61,    488.25,       40.37,          5.321
      5,      38.5,     27.26,    476.43,       41.99,          5.453
      5,      38.5,     26.55,    489.27,       45.00,          5.310
      5,      38.5,     25.84,    502.69,       48.18,          5.169
      5,      38.5,     25.87,    502.20,       48.18,          5.174
      5,      38.5,     26.99,    481.51,       49.64,          5.397
      5,      38.5,     26.71,    486.47,       52.70,          5.343
      5,      38.5,     27.21,    477.60,       55.18,          5.442
      5,      38.5,     26.92,    482.93,       53.97,          5.384
      5,      38.5,     26.02,    499.75,       55.18,          5.203
      5,      38.5,     26.70,    486.92,       57.53,          5.339
      5,      38.5,     26.59,    489.00,       58.67,          5.317
      5,      38.5,     26.33,    493.72,       60.53,          5.266
      5,      38.5,     27.11,    479.45,       61.56,          5.422
      5,      38.5,     25.95,    500.90,       63.44,          5.190
      5,      38.5,     26.74,    486.26,       63.44,          5.347
      5,      38.5,     26.20,    496.26,       68.20,          5.240
      5,      38.5,     26.42,    492.07,       68.20,          5.285
      5,      38.5,     26.26,    494.98,       68.20,          5.253
      5,      38.5,     25.94,    500.97,       72.26,          5.187
      5,      38.5,     26.90,    483.09,       72.26,          5.379
      5,      38.5,     27.36,    474.92,       72.90,          5.472
      5,      38.5,     26.74,    485.99,       72.90,          5.347
      5,      38.5,     26.29,    494.34,       70.20,          5.257
      5,      38.5,     25.82,    503.31,       68.63,          5.163
      5,      38.5,     26.07,    498.39,       65.38,          5.215
      5,      38.5,     26.73,    486.29,       63.44,          5.345
      5,      38.5,     26.87,    483.79,       61.56,          5.373
      5,      38.5,     26.93,    482.79,       58.67,          5.385
      5,      38.5,     26.71,    486.69,       57.53,          5.341
      5,      38.5,     26.81,    484.91,       53.97,          5.362
      5,      38.5,     27.02,    481.05,       52.31,          5.405
      5,      38.5,     25.90,    501.82,       49.64,          5.180
      5,      38.5,     25.85,    502.67,       48.18,          5.170
      5,      38.5,     25.88,    501.92,       43.45,          5.176
      5,      38.5,     25.75,    504.59,       36.87,          5.151
      5,      38.5,     25.50,    510.84,       25.56,          5.099
      5,      38.5,     25.63,    508.64,       23.50,          5.126
      5,      38.5,     27.04,    482.45,       19.80,          5.408
      5,      38.5,     24.87,    523.46,       15.64,          4.974
      5,      38.5,     25.05,    519.30,       14.04,          5.009
      5,      38.5,     25.90,    501.98,       13.50,          5.180
      5,      38.5,     26.39,    492.68,       13.00,          5.278
      5,      38.5,     26.31,    493.94,        4.40,          5.262
      5,      38.5,     26.53,    490.30,        2.20,          5.306
      5,      38.5,     26.25,    495.57,        0.00,          5.251
      5,      38.5,     26.76,    486.14,        2.12,          5.353
      5,      38.5,     26.02,    499.74,        2.29,          5.204
      5,      38.5,     27.35,    475.22,        6.12,          5.471
      5,      38.5,     26.67,    487.37,        6.58,          5.334
      5,      38.5,     26.80,    484.99,        8.43,          5.360
      5,      38.5,     26.10,    498.03,        8.75,          5.220
      5,      38.5,     26.77,    485.53,       10.89,          5.355
      5,      38.5,     26.20,    496.23,       13.00,          5.239
      5,      38.5,     24.87,    522.70,       13.50,          4.974
      5,      38.5,     25.31,    513.43,       15.64,          5.063
      5,      38.5,     26.11,    497.80,       17.75,          5.221
      5,      38.5,     25.48,    510.06,       21.37,          5.095
      5,      38.5,     25.55,    508.61,       24.62,          5.110
      5,      38.5,     26.21,    495.73,       26.57,          5.242
      5,      38.5,     26.05,    498.71,       26.57,          5.211
      5,      38.5,     25.84,    502.80,       27.55,          5.168
      5,      38.5,     26.25,    495.00,       32.47,          5.250
      5,      38.5,     26.08,    498.25,       32.47,          5.215
      5,      38.5,     25.52,    509.11,       35.54,          5.105
      5,      38.5,     24.95,    520.74,       36.87,          4.991
      5,      38.5,     24.93,    521.28,       41.82,          4.986
      5,      38.5,     24.50,    530.42,       39.81,          4.900
      5,      38.5,     25.12,    517.49,       43.36,          5.023
      5,      38.5,     25.50,    509.62,       46.64,          5.101
      5,      38.5,     25.20,    515.93,       51.34,          5.039
      5,      38.5,     25.31,    513.55,       51.71,          5.062
      5,      38.5,     26.11,    497.70,       51.01,          5.223
